"LIBNAME","ZIP","POPU_LSA","CENTLIB","BRANLIB","MASTER","LIBRARIA","OTHPAID","TOTSTAFF","LOCGVT","STGVT","FEDGVT","TOTINCM","SALARIES","TOTEXPCO","TOTOPEXP","CAP_REV","CAPITAL","HRS_OPEN","VISITS","REGBOR","TOTCIR","TOTCOLL","TOTPRO","TOTATTEN","PITUSR","WIFISESS","LONGITUD","LATITUDE","CNTYPOP"
"ALVAH N. BELDING MEMORIAL LIBRARY",48809,11000,1,0,0.8,2.6,2.1,4.7,242550,7626,0,250176,135654,26022,277861,0,116389,2110,46477,2745,30591,30591,237,3445,4668,8111,-85.2268,43.09777,64210
"ANN ARBOR DISTRICT LIBRARY",48104,163590,1,4,18,18,156,174,15842212,122546,0,16430551,6549058,1588619,14690756,0,118068,18997,1851354,60100,6128574,6238503,2305,140150,133319,1041100,-83.7461,42.2783,370963
"ARMADA FREE PUBLIC LIBRARY",48005,5379,1,0,1,1,2.75,3.75,322994,3518,0,333562,123387,33657,241930,0,0,2600,22013,1957,31905,31905,73,1288,674,6942,-82.8832,42.84188,874759
"ATHENS COMMUNITY LIBRARY",49011,4265,1,0,0,0.5,0.78,1.28,43298,2789,0,46087,-9,4903,49230,0,0,2132,7602,1453,5660,6088,18,26,1272,2451,-85.236,42.08835,134487
"AUBURN HILLS PUBLIC LIBRARY",48326,21412,1,0,5.9,6.3,7.45,13.75,1324446,15634,0,1368390,361778,60854,648963,0,254039,3018,121801,9567,142982,158854,694,10930,21184,9542,-83.2221,42.66982,1259201
"AUGUSTA-ROSS TOWNSHIP DISTRICT LIBRARY",49012,7172,1,0,0,2.15,0.21,2.36,167052,6236,0,186261,125989,20059,185382,0,7140,2118,26361,3348,30086,30711,44,1064,2376,1188,-85.3518,42.33527,264870
"BACON MEMORIAL DISTRICT LIBRARY",48192,25883,1,0,4.1,4.1,6.05,10.15,843336,18981,0,1400459,365661,91513,795172,0,46509,2870,138183,6818,114306,122917,301,6308,26382,7175,-83.1483,42.20759,1753893
"BAD AXE AREA DISTRICT LIBRARY",48413,6621,1,0,0,1,2.5,3.5,240049,4590,0,265572,125954,24662,227070,0,0,2830,36322,6000,35599,37564,208,4059,4510,19364,-82.9973,43.80099,31166
"BALDWIN PUBLIC LIBRARY",48009,35350,1,0,15.3,15.3,19.14,34.44,4067323,25923,0,4194908,1452227,564910,3256297,32724,142767,3359,267938,16151,503941,521378,1213,35959,15098,237076,-83.2177,42.54514,1259201
"BARRYTON PUBLIC LIBRARY",49305,4075,1,1,0,1.9,0.95,2.85,126270,2825,0,141931,84069,20946,142869,0,0,3236,12566,2271,16779,16779,5,222,5233,4168,-85.1448,43.75003,43545
"BAY COUNTY LIBRARY SYSTEM",48708,107681,1,3,11,11.08,52.54,63.62,6274767,71285,0,6526042,2436772,546900,4741401,0,0,10636,335728,58018,656131,813359,1886,80619,70099,0,-83.8855,43.59782,103923
"SUPERIOR DISTRICT LIBRARY",49783,40841,1,7,1.95,8.7,5.63,14.33,905703,29730,2500,1065162,509517,101435,1086849,0,38611,12785,285765,16908,120327,120387,1204,33160,34490,20885,-84.3485,46.49564,37517
"BEAVER ISLAND DISTRICT LIBRARY",49782,657,1,0,0,1.13,0.15,1.28,114379,429,0,126787,-9,11874,133091,0,5655,2400,14822,2076,14348,14348,96,592,2866,0,-85.5236,45.74683,26244
"BELLAIRE PUBLIC LIBRARY",49615,3769,1,0,0,1,1.38,2.38,118949,2465,0,142872,65563,28694,138128,0,5401,1892,34066,847,29902,57902,110,3268,6976,3500,-85.2099,44.97514,23365
"BELLEVUE TOWNSHIP LIBRARY",49021,3150,1,0,0,0.63,0,0.63,30953,2060,0,34882,-9,1452,34882,0,0,1212,4194,2180,9213,9213,0,0,1048,83,-85.018,42.44523,109826
"BRIGGS DISTRICT LIBRARY",48879,21705,1,0,2,3,3.85,6.85,587679,15917,0,640548,292915,51215,491243,0,0,2638,91109,7356,84731,84864,353,7833,6080,5938,-84.5581,43.00441,79332
"BENTON HARBOR PUBLIC LIBRARY",49022,24787,1,0,2.75,2.75,6.73,9.48,543559,24754,0,602889,283916,49669,531298,0,71095,2513,71914,7368,53739,53739,396,5217,15120,15811,-86.4533,42.11553,154141
"POTTERVILLE-BENTON TOWNSHIP DISTRICT LIBRARY",48876,5413,1,0,0,0.68,1.15,1.83,88841,3969,0,95151,-9,7820,90623,0,108095,1612,9203,2609,18584,18595,137,1613,1385,193,-84.7406,42.63043,109826
"BENZONIA PUBLIC LIBRARY",49616,3623,1,0,0,1.64,0.15,1.79,82089,2512,0,105051,-9,15142,103853,21,0,2288,30271,1126,36035,36035,304,4744,3450,8112,-86.0991,44.6185,17753
"BERKLEY PUBLIC LIBRARY",48072,14970,1,0,3.4,3.4,5.95,9.35,634682,10379,1892,710938,353589,71866,658242,0,52696,2650,116217,7396,150004,150004,223,5242,16906,21000,-83.1838,42.50107,1259201
"BERRIEN SPRINGS COMMUNITY LIBRARY",49103,9197,1,0,1,2,4.33,6.33,309545,6016,0,346719,171350,39700,314009,0,0,2754,104823,5119,74397,75062,495,5393,16427,3049,-86.3411,41.94854,154141
"BESSEMER PUBLIC LIBRARY",49911,5414,1,0,1,1,0.35,1.35,82535,2000,0,89305,-9,18330,106079,0,4674,1825,9855,1329,18244,18244,13,276,1765,1359,-90.0503,46.47837,15096
"BETSIE VALLEY DISTRICT LIBRARY",49683,2937,1,0,0,1.3,0,1.3,76168,2154,0,84163,-9,7674,71910,0,2802,1820,7088,1874,6424,6424,55,1472,1109,957,-85.9433,44.51947,17753
"DARCY LIBRARY OF BEULAH",49617,3179,1,0,0.95,1.73,0,1.73,77919,2204,0,112085,-9,20998,101295,0,25251,1716,18530,1551,17454,17454,32,556,5413,1778,-86.0946,44.62832,17753
"BIG RAPIDS COMMUNITY LIBRARY",49307,20025,1,0,2,2,3.95,5.95,390880,13883,0,449254,178944,29005,437559,0,175919,2080,37329,4873,57395,57395,279,4958,8616,5492,-85.4818,43.69394,43545
"BLAIR MEMORIAL LIBRARY",48017,11825,1,0,1.8,1.8,4.09,5.89,464806,8198,2924,493115,210202,57173,482244,0,0,1976,85888,4215,94549,94851,256,4061,14231,20075,-83.1464,42.53683,1259201
"BLOOMFIELD TOWNSHIP PUBLIC LIBRARY",48302,41070,1,0,17.63,17.63,36.9,54.53,7041271,26864,0,7287080,2760655,754571,6112228,0,492100,3434,223709,34436,835873,835873,782,23097,25190,63258,-83.2816,42.56673,1259201
"BOYNE DISTRICT LIBRARY",49712,7226,1,0,1,1,6.69,7.69,521885,4727,0,579582,251278,58422,541939,0,56015,3248,63176,4555,55730,55730,226,3440,10156,11769,-85.0132,45.21187,26244
"BRANCH DISTRICT LIBRARY",49036,46905,1,5,6,12.13,10.8,22.93,1553801,30680,0,1705819,1067039,180314,1656748,234848,82899,11024,193922,25685,154139,188186,1279,22944,44181,425714,-85.0004,41.94055,43622
"BRANDON TOWNSHIP PUBLIC LIBRARY",48462,15175,1,0,3.75,8.53,6.28,14.81,1024542,9926,0,1087124,414776,100004,853590,0,17163,3224,28480,5899,95911,106610,596,11215,9079,6570,-83.4471,42.84818,1259201
"BRIDGEPORT PUBLIC LIBRARY",48601,12667,1,0,1,3,1.13,4.13,323756,8285,0,362147,174493,18950,353019,0,8800,3120,58543,6029,25046,25393,61,612,16348,5200,-83.9071,43.3733,190800
"BRIDGMAN PUBLIC LIBRARY",49106,6296,1,0,1,3.8,3,6.8,373525,4048,0,428045,243578,34214,414151,0,3300,2708,67973,3498,57980,58632,502,7543,13089,12384,-86.5606,41.9429,154141
"BRIGHTON DISTRICT LIBRARY",48116,43254,1,0,10.69,10.69,17.59,28.28,1996023,23151,0,2113583,1061432,164913,1825239,957,177093,3100,185800,13853,360826,418166,481,12729,30649,12444,-83.7906,42.54198,191224
"BROWN CITY PUBLIC LIBRARY",48416,4005,1,0,0,0.8,0.13,0.93,33863,2619,0,47065,-9,3512,46804,0,0,1648,3000,1095,7000,7000,6,268,1230,400,-82.9975,43.21199,41182
"BUCHANAN DISTRICT LIBRARY",49107,10090,1,0,1,5,2.25,7.25,462076,6995,0,480447,214799,34799,428206,30039,231862,2752,47894,3057,68761,69288,310,4908,7026,13617,-86.3601,41.82733,154141
"BULLARD SANFORD MEMORIAL LIBRARY",48768,9705,1,0,1,1,3.78,4.78,315694,15096,1400,354335,136932,30386,495235,0,97923,2392,49607,3316,27731,27731,98,2394,6807,3285,-83.5885,43.37232,52516
"BURLINGTON TOWNSHIP LIBRARY",49029,1941,1,0,0.14,1.25,0.82,2.07,104646,1212,0,110216,56163,14136,114548,0,11674,1574,10604,1050,14396,14396,107,1365,2039,1091,-85.0783,42.10508,134487
"BURR OAK TOWNSHIP LIBRARY",49030,2611,1,0,0,0.7,0,0.7,26500,1900,0,28400,-9,3750,24550,0,0,1400,2000,1537,1125,1125,13,134,514,337,-85.3167,41.84564,61043
"CADILLAC WEXFORD PUBLIC LIBRARY",49601,35087,1,4,3,4,12.78,16.78,933253,81081,0,1058790,593924,89459,1011130,1493,16162,9643,151567,25628,198615,239061,585,13205,34561,36260,-85.3997,44.24691,33466
"CALUMET PUBLIC-SCHOOL LIBRARY",49913,8692,1,0,0,2.14,2.38,4.52,12276,6374,0,119309,75126,14442,112935,0,62685,2015,35809,4663,31413,32156,52,465,2532,0,-88.4447,47.24693,36219
"CAMDEN TOWNSHIP LIBRARY",49232,4191,1,0,0,0.7,0.55,1.25,37016,2741,0,42919,-9,8973,66374,2049,2542,1518,7054,508,11826,11950,357,5567,1078,425,-84.7575,41.75512,45749
"CANTON PUBLIC LIBRARY",48188,90173,1,0,19.83,19.83,36.64,56.47,5451147,58982,0,5717346,2591072,750254,5904438,0,1134836,3594,527202,72852,1307040,1353833,1041,28069,85485,123672,-83.4867,42.29767,1753893
"CARP LAKE TOWNSHIP LIBRARY",49971,722,1,0,0,0.5,0.08,0.58,23508,472,0,26331,-9,2101,26291,0,614,806,2354,225,2689,2689,1,1,842,9,-89.5819,46.75773,5795
"CARSON CITY PUBLIC LIBRARY",48811,10857,1,1,0,3.33,0.93,4.26,178145,9051,0,205419,120408,20219,205400,0,192090,4141,44000,2002,28046,29116,85,1907,5520,6354,-84.8466,43.17699,63968
"CASS DISTRICT LIBRARY",49031,38002,1,4,1.65,12.38,3.1,15.48,1188000,24437,0,1268286,491188,124883,1074515,0,52351,11661,62085,6091,128631,129368,327,5452,32361,30000,-86.0164,41.92055,51653
"CEDAR SPRINGS PUBLIC LIBRARY",49319,9483,1,0,0,1,2,3,172713,6569,0,245084,100894,17065,193413,10578,11038,2236,67275,2775,55423,55423,195,7186,7871,18100,-85.5512,43.22558,653786
"CENTER LINE PUBLIC LIBRARY",48015,8257,1,0,2,2,3.18,5.18,268206,5724,0,290595,107063,37948,261574,0,0,2184,42871,3831,32502,32834,172,1768,7449,5121,-83.0298,42.4793,874759
"CENTRAL LAKE DISTRICT LIBRARY",49622,3995,1,0,0,0.93,1.33,2.26,145709,2681,0,148390,74503,10638,134873,0,0,2316,17012,3295,19335,19335,288,2161,5791,7625,-85.2626,45.07091,23365
"CHARLES A. RANSOM DISTRICT LIBRARY",49080,15068,1,0,1,2,4.95,6.95,763874,9856,0,785490,276588,63839,521672,0,8528,3109,77841,9044,170949,170949,521,7951,16143,10000,-85.6343,42.44185,117327
"CHARLEVOIX PUBLIC LIBRARY",49720,9810,1,0,4.58,6.45,6.05,12.5,917048,6672,0,1092389,451926,84955,1002088,0,41860,2931,110456,3540,94478,100227,437,10985,16236,14227,-85.2614,45.31704,26244
"CHARLOTTE COMMUNITY LIBRARY",48813,23157,1,0,1.88,5.39,4.45,9.84,477688,11400,0,499938,311601,73302,719931,0,165095,2985,82928,9218,180031,180031,249,10613,11000,11000,-84.8372,42.56185,109826
"CHASE TOWNSHIP PUBLIC LIBRARY",49623,1854,1,0,0,0.88,0,0.88,31282,1212,0,48298,-9,677,32868,0,2857,1820,3297,1676,10250,10250,41,1020,246,208,-85.6344,43.88963,11881
"CHEBOYGAN AREA PUBLIC LIBRARY",49721,13894,1,0,3,3,4.9,7.9,502733,9633,0,540563,263405,38562,517235,222374,0,2627,95293,4494,142401,142401,1035,14285,8362,0,-84.4801,45.64384,25413
"RIVER RAPIDS DISTRICT LIBRARY",48616,4659,1,0,0,1,2.2,3.2,131241,3417,0,327372,67147,23914,138318,0,0,1664,25385,3200,18656,18656,93,1360,2750,1860,-84.1131,43.1836,190800
"CLINTON TOWNSHIP PUBLIC LIBRARY",49236,3604,1,0,1,1,2.03,3.03,145906,2643,0,160675,90330,17067,148940,0,0,2329,22652,3489,44775,45142,75,1413,4457,506,-83.9719,42.07281,98266
"COLEMAN AREA LIBRARY",48618,4622,1,0,0,0.83,2.18,3.01,137753,3023,0,155469,82710,12031,139883,0,2223,1851,20774,1092,17037,17037,35,531,2308,206,-84.5822,43.75465,83209
"COLOMA PUBLIC LIBRARY",49038,12982,1,0,2,3.93,0.93,4.86,329588,9031,0,369327,193595,34730,344148,229168,238372,2470,49985,12644,86223,91760,114,2022,14727,10330,-86.3074,42.18614,154141
"COLON TOWNSHIP LIBRARY",49040,3803,1,0,0,2.13,0.2,2.33,118515,2487,0,124502,62400,14495,114895,74102,74102,1872,25186,4602,22189,25123,244,2113,3333,2964,-85.3254,41.95851,61043
"COLUMBIA TOWNSHIP LIBRARY",48767,2373,1,0,0.65,0.95,0.74,1.69,96188,3050,0,106587,-9,13439,77237,0,5196,2018,7990,1249,10955,10955,95,859,910,49,-83.4663,43.65369,52516
"COMSTOCK TOWNSHIP LIBRARY",49041,14854,1,0,5.5,5.5,4.63,10.13,824723,9716,0,849677,407649,93481,791880,0,100671,2920,54983,2324,111745,112512,415,8165,9372,2399,-85.5096,42.28627,264870
"CONSTANTINE TOWNSHIP LIBRARY",49042,4986,1,0,0,2.17,0.99,3.16,156015,3261,0,170031,95729,16775,168930,0,3875,2352,13600,2615,21757,21790,251,3024,5922,630,-85.6699,41.84098,61043
"COOPERSVILLE AREA DISTRICT LIBRARY",49404,11862,1,0,1.43,4.73,0.25,4.98,342713,8698,0,401061,181060,51354,414566,50000,23868,2184,54656,5898,65893,66175,311,8053,5443,9241,-85.9351,43.06494,290494
"CRAWFORD COUNTY LIBRARY",49738,14074,1,1,0.93,1.93,6.2,8.13,483682,0,0,483682,199301,23173,417689,0,35545,4490,66196,6882,51102,60278,648,8919,16665,15230,-84.7076,44.66494,13901
"CROMAINE DISTRICT LIBRARY",48353,26391,1,0,9,9,9.5,18.5,1888804,18297,0,1907101,757095,193607,1455202,0,496820,3308,126500,10044,349871,426004,909,41100,7818,25793,-83.7541,42.65866,191224
"CROOKED TREE DISTRICT LIBRARY",49796,3953,1,1,2.4,2.4,1.28,3.68,155225,2741,0,225222,74892,16528,190837,0,0,2658,7727,2418,11546,11546,123,888,2017,0,-84.9307,45.26714,26244
"CRYSTAL FALLS DISTRICT COMMUNITY LIBRARY",49920,3453,1,0,0,0.75,2.7,3.45,170554,2258,0,177529,88513,33349,164943,2000,1624,2563,20528,1941,19709,19709,39,502,2858,4165,-88.3302,46.09674,11117
"DEARBORN PUBLIC LIBRARY",48126,98153,1,2,16.3,16.3,38.45,54.75,5687548,1076177,0,6916693,2397185,500000,6112582,0,202986,6972,347374,31435,471918,552780,924,23147,188636,16660,-83.2026,42.31381,1753893
"DECKERVILLE PUBLIC LIBRARY",48427,4514,1,0,0,1.1,0.4,1.5,83730,2953,0,89736,-9,12071,54654,0,3582,1507,15123,1665,15943,16384,31,608,583,1375,-82.7349,43.52827,41182
"DELTON DISTRICT LIBRARY",49046,10021,1,0,0,2.1,0.58,2.68,127089,6555,0,133644,96000,12456,152337,0,0,2392,75000,3209,37000,37000,96,4351,10828,13000,-85.4086,42.50384,61157
"DETOUR AREA SCHOOL AND PUBLIC LIBRARY",49725,2190,1,0,0,0,0.88,0.88,63269,797,0,68258,-9,5572,47687,0,0,1715,5357,536,3243,3243,110,1838,648,1758,-83.9053,45.99372,37517
"DETROIT PUBLIC LIBRARY",48202,713777,1,20,90,90,226,316,27589307,2780879,35010,31876759,12779893,1408731,31876759,0,0,37664,2891755,163516,785564,789553,21584,230047,294129,82391,-83.0651,42.35805,1753893
"DEXTER DISTRICT LIBRARY",48130,19591,1,0,9.6,9.6,6.05,15.65,1412168,14367,3242,1573967,733730,195562,1399172,0,20110,3650,174620,11845,313216,331860,687,45070,32167,14983,-83.8888,42.34001,370963
"DICKINSON COUNTY LIBRARY",49801,26168,1,2,1,2.88,10.51,13.39,1075101,32705,0,1207578,444804,107270,1147907,0,6500,6400,115333,10548,168131,169078,283,9267,17293,14962,-88.0637,45.81927,25383
"DORR TOWNSHIP LIBRARY",49323,7439,1,0,1,2.3,1.75,4.05,168605,7957,0,193607,95587,44448,167792,6364,0,2100,37854,3749,52794,55507,500,12976,10284,3231,-85.7225,42.73368,117327
"DOWAGIAC DISTRICT LIBRARY",49047,13306,1,0,1,6.25,0,6.25,385136,9758,0,440630,189277,47603,352873,0,13059,2695,56653,11111,39119,39119,243,3668,18659,3356,-86.1103,41.98316,51653
"DOWLING PUBLIC LIBRARY",49058,4869,1,0,0,0.73,0.73,1.46,50626,3185,0,56151,-9,5638,54565,0,884,1800,6020,1819,9002,9002,4,57,801,352,-85.2521,42.52245,61157
"DRYDEN TOWNSHIP LIBRARY",48428,4768,1,0,0,0.8,1.45,2.25,83131,3496,0,94395,62450,20484,124677,0,0,1755,24896,1831,14656,14677,77,673,1947,976,-83.1258,42.94595,88028
"WHITE CLOUD COMMUNITY LIBRARY",49349,8533,1,0,0,5.71,0,5.71,335227,5916,0,341143,199395,36997,314430,11096,600,2388,45799,2335,55416,55416,170,1428,3793,7972,-85.7759,43.55009,48892
"EASTPOINTE MEMORIAL LIBRARY",48021,32442,1,0,4.25,4.25,3.6,7.85,900428,22492,0,944082,420361,69655,903656,0,0,2455,80440,16413,93505,100938,330,4378,20692,14954,-82.9574,42.46264,874759
"EAST LANSING PUBLIC LIBRARY",48823,48579,1,0,6.1,8.73,7.53,16.26,1966464,33679,1444,2354589,823839,325349,2031624,49704,65657,3094,241897,17208,307483,308723,1187,39594,28468,60813,-84.4836,42.74339,292735
"EATON RAPIDS AREA DISTRICT LIBRARY",48827,12670,1,0,1,1.65,1.83,3.48,212204,8784,0,232449,133552,21195,232449,0,0,2233,31854,2503,26256,26813,259,5241,5984,5204,-84.6558,42.51123,109826
"EAU CLAIRE DISTRICT LIBRARY",49111,7392,1,0,1,1,2.43,3.43,230774,5125,0,245977,116972,22716,236835,0,12528,2416,11167,5416,25684,25684,58,579,6142,4637,-86.2988,41.9853,154141
"ELK RAPIDS DISTRICT LIBRARY",49629,5432,1,0,0,1,3.63,4.63,332643,3553,0,351507,161593,32780,273030,0,32817,3016,45965,3176,40442,40442,108,3131,6230,12975,-85.4162,44.89933,23365
"ELK TOWNSHIP LIBRARY",48466,2769,1,0,0,0.88,0,0.88,44763,2684,0,48724,-9,7400,46538,0,1093,1820,5100,2230,5110,5110,3,40,416,184,-82.8161,43.25865,41182
"ELSIE PUBLIC LIBRARY",48831,3738,1,0,0,0.75,1.18,1.93,83006,2592,0,91358,-9,12937,78020,0,0,1061,12372,1707,12440,12440,109,2352,3078,1903,-84.3883,43.08869,79332
"ESCANABA PUBLIC LIBRARY",49829,25830,1,0,2,3,4.38,7.38,518549,18941,0,571420,238027,42431,572087,0,74087,2578,78002,9819,88299,103362,168,3498,13190,9632,-87.0521,45.74575,35857
"EVART PUBLIC LIBRARY",49631,7717,1,0,0.19,1.84,0.19,2.03,137033,2675,0,139708,70729,16142,117289,0,55654,2028,13656,3421,15237,15237,48,337,1687,621,-85.2593,43.90072,23341
"FAIRGROVE DISTRICT LIBRARY",48733,3112,1,0,0,0.75,1.76,2.51,269216,2035,0,277323,83556,14819,128403,0,22212,2392,5845,859,10845,10845,9,140,1618,0,-83.5434,43.52229,52516
"FALMOUTH AREA LIBRARY",49632,882,1,0,0.07,0.57,0.37,0.94,47552,1212,0,53122,-9,6423,52051,0,5305,1574,4819,477,6542,6542,49,620,926,496,-85.0901,44.24371,15113
"FARMINGTON COMMUNITY LIBRARY",48334,90112,1,1,21.2,27.8,42.95,70.75,6046647,62474,0,6370879,2872806,627891,5863521,0,789986,6816,580174,44845,1071896,1267051,1612,55497,124565,324304,-83.3719,42.49881,1259201
"DEWITT DISTRICT LIBRARY",48820,20542,1,0,3.75,3.75,6.95,10.7,822698,23569,0,903715,411894,123945,829024,0,32232,2968,61320,11153,151698,152044,474,10157,6822,6381,-84.5887,42.82534,79332
"FENNVILLE DISTRICT LIBRARY",49408,14230,1,0,1.25,1.63,3.8,5.43,380809,10435,592,414834,201127,39703,384198,0,80177,2682,68452,2616,48175,48564,536,9778,14560,11180,-86.1075,42.59429,117327
"FERNDALE AREA DISTRICT LIBRARY",48220,19900,1,0,7.93,7.93,6.83,14.76,1853447,13590,0,1953312,532055,118546,1063249,0,433575,2819,143798,7565,157244,159853,465,14983,25864,23896,-83.1324,42.46058,1259201
"FIFE LAKE PUBLIC LIBRARY",49633,2791,1,0,0.35,2.95,0.05,3,155221,1826,0,166657,80341,17119,152483,0,3012,2080,29000,64577,19992,19992,350,6768,2912,7311,-85.3471,44.57747,92573
"THOMAS E. FLESCHNER MEMORIAL LIBRARY",48415,6033,1,0,0,1,0.53,1.53,107439,3946,0,114154,-9,14323,110794,3946,0,2124,22516,7700,27265,27265,86,1591,4803,960,-83.7868,43.25067,190800
"FLINT PUBLIC LIBRARY",48503,102434,1,0,15.6,16.6,13.21,29.81,3022101,561573,0,4272007,1434520,223730,3827207,0,96332,2223,128647,24540,117398,164298,515,27875,34702,11316,-83.6792,43.02241,406892
"FORSYTH TOWNSHIP PUBLIC LIBRARY",49841,6164,1,0,0,1,2.44,3.44,170464,4032,0,184012,87705,18264,168339,0,0,2054,34588,3498,32758,32758,139,2091,5173,5776,-87.4383,46.27902,66516
"FOWLERVILLE DISTRICT LIBRARY",48836,17068,1,0,1.75,1.75,7,8.75,791154,11833,0,815012,378111,62381,594569,0,755317,2552,37673,7212,34014,36543,314,6483,3201,9490,-84.0731,42.66042,191224
