"LIBNAME","ZIP","POPU_LSA","CENTLIB","BRANLIB","MASTER","LIBRARIA","OTHPAID","TOTSTAFF","LOCGVT","STGVT","FEDGVT","TOTINCM","SALARIES","TOTEXPCO","TOTOPEXP","CAP_REV","CAPITAL","HRS_OPEN","VISITS","REGBOR","TOTCIR","TOTCOLL","TOTPRO","TOTATTEN","PITUSR","WIFISESS","LONGITUD","LATITUDE","CNTYPOP"
"BENZIE SHORES DISTRICT LIBRARY",49635,3811,1,0,1.6,3.1,0.53,3.63,290690,5599,0,313403,162890,34942,313403,0,1883,2334,59037,3102,55588,61086,179,1583,7524,8011,-86.2355,44.63246,17753
"FRANKLIN PUBLIC LIBRARY",48025,3150,1,0,0.68,1.2,0.4,1.6,208610,1037,0,230811,-9,20574,209228,44382,4270,2200,12614,1282,22898,22898,66,1615,1677,924,-83.3059,42.52599,1259201
"FRASER PUBLIC LIBRARY",48026,14480,1,0,2.65,2.75,4,6.75,454260,10140,0,483375,262747,46993,429934,0,12381,2652,48060,7276,72621,73626,441,5221,9074,23199,-82.9552,42.53874,874759
"FREEPORT DISTRICT LIBRARY",49325,5641,1,0,0,1.45,0.18,1.63,92313,4137,0,106730,-9,9211,96860,0,0,1576,5690,879,17640,17640,53,1450,507,4831,-85.3164,42.76289,61157
"FREMONT AREA DISTRICT LIBRARY",49412,13326,1,0,3.7,3.7,5.98,9.68,631246,56566,0,857117,350197,56817,816879,17101,36631,2106,133048,3460,234144,239144,200,6045,20000,10000,-85.943,43.46708,48892
"GALESBURG-CHARLESTON MEMORIAL DISTRICT LIBRARY",49053,9476,1,0,1,1,1.05,2.05,135471,6570,0,142041,60589,17991,128261,0,0,1656,18960,369,13904,13904,142,2249,3440,2214,-85.4128,42.28892,264870
"GALIEN TOWNSHIP PUBLIC LIBRARY",49113,3043,1,0,0,1,0,1,82093,1990,0,92606,-9,12471,87353,0,2812,2080,6597,1890,7374,7374,5,130,1779,759,-86.4989,41.80562,154141
"GARDEN CITY PUBLIC LIBRARY",48135,27692,1,0,2,2.73,3.36,6.09,508686,19198,0,541319,212431,57546,478180,0,0,2485,68690,6517,75166,75166,274,6587,13373,33880,-83.3542,42.33227,1753893
"PERE MARQUETTE DISTRICT LIBRARY",48617,8833,1,0,0.88,1,3.3,4.3,320935,6123,0,376287,150000,19329,376287,0,0,2288,70836,7632,73178,73178,347,6139,9896,10560,-84.7665,43.81877,30757
"GENESEE DISTRICT LIBRARY",48504,332567,1,18,26,26,56.78,82.78,8286395,258603,0,9034159,3390858,1668991,8330832,0,31273,46198,1028097,129789,1679654,1973623,1364,33838,185115,53447,-83.7602,43.04552,406892
"GEORGETOWN TOWNSHIP PUBLIC LIBRARY",49428,46985,1,0,2.5,2.5,12.53,15.03,1012230,30733,3491,1081782,581772,194035,1078721,0,1621,2888,113609,15074,314101,314101,194,7707,3654,969,-85.8196,42.90718,290494
"ROSCOMMON AREA DISTRICT LIBRARY",48653,6295,1,1,1,1,4.3,5.3,410269,7599,0,428391,141589,44187,310775,0,15447,3562,51825,5362,60073,60077,301,5372,7982,2371,-84.5969,44.48787,23884
"GLADSTONE AREA SCHOOL & PUBLIC LIBRARY",49837,11239,1,0,0,1,2.6,3.6,59775,7792,0,104029,52103,19575,104029,0,34988,2195,82267,3081,73904,73904,18,991,6111,4441,-87.0209,45.84422,35857
"GLADWIN COUNTY DISTRICT LIBRARY",48624,25692,1,1,1,1,8.05,9.05,632787,16805,0,687909,261087,71100,633387,0,33000,5252,46501,4742,97310,97310,216,5803,15965,39339,-84.4703,43.98417,25337
"GLEN LAKE COMMUNITY LIBRARY",49630,3650,1,0,1,2,0.16,2.16,203971,1194,0,225151,100678,28267,172363,0,29227,2392,17000,882,28760,28760,63,910,2400,657,-86.0606,44.81102,21764
"GRACE A. DOW MEMORIAL LIBRARY",48640,76707,1,0,12,14.15,21,35.15,3851776,53180,0,4132566,1615606,425627,4009609,0,220540,3262,203434,39098,552155,960290,399,16412,16662,34543,-84.2473,43.62521,83209
"GRAND LEDGE AREA DISTRICT LIBRARY",48837,15959,1,0,1.6,4.73,4.83,9.56,669908,11064,0,711065,357970,115544,625079,34784,34784,3127,63226,6580,109151,115299,339,15469,9066,17525,-84.7459,42.75299,109826
"GRAND RAPIDS PUBLIC LIBRARY",49503,188040,1,7,25,25,76.5,101.5,9097760,137894,0,9612191,4386021,1179077,9150685,2394973,2995381,18140,683544,55286,1405749,1657038,947,29262,117491,197786,-85.6658,42.96436,653786
"GRANT AREA DISTRICT LIBRARY",49327,8875,1,0,1.05,3.6,1.7,5.3,370865,6508,0,402846,173521,39640,370153,126039,0,2500,42385,1841,24222,27740,141,5993,3588,6532,-85.8029,43.33416,48892
"FLAT RIVER COMMUNITY LIBRARY",48838,17626,1,0,3,3,5,8,379133,13744,0,492871,250222,94182,620404,0,0,3072,91410,11412,132165,153487,283,8069,11339,14148,-85.2544,43.17379,63968
"GROSSE POINTE PUBLIC LIBRARY",48236,51133,1,2,15.9,15.9,28.81,44.71,5970613,32080,0,6306095,1964000,626714,4268239,0,702741,9836,473267,24700,521892,595292,822,38945,46207,61004,-82.9054,42.39394,1753893
"HACKLEY PUBLIC LIBRARY",49440,40898,1,0,4.95,5.09,13.74,18.83,1570647,296982,0,1932502,895899,96988,1907502,0,199664,2288,196313,15413,92213,134403,330,9092,28216,24433,-86.2508,43.23416,173588
"IONIA COMMUNITY LIBRARY",48846,21871,1,0,1,2.8,5.88,8.68,491831,15591,0,533289,366421,46917,627812,0,40111,2600,52780,7306,73412,73412,469,13952,5622,6965,-85.0619,42.98287,64210
"HAMBURG TOWNSHIP LIBRARY",48139,21165,1,0,4,4,6.15,10.15,849860,15521,0,898496,439021,45445,729675,0,94349,2918,57694,16996,88704,88704,232,4690,3345,30622,-83.8212,42.45125,191224
"HAMTRAMCK PUBLIC LIBRARY",48212,22423,1,0,1.5,1.5,5,6.5,366192,16443,7372,403883,195264,9090,340743,0,0,2080,62391,7745,26331,26331,316,5675,29641,7701,-83.0633,42.39846,1753893
"HANCOCK SCHOOL PUBLIC LIBRARY",49930,6831,1,0,0,0.95,0.2,1.15,60012,2218,0,62230,-9,981,63886,0,0,1413,7022,1166,8178,8178,3,91,137,15,-88.5856,47.14137,36219
"HARBOR BEACH AREA DISTRICT LIBRARY",48441,6119,1,0,0,2.7,2.6,5.3,548028,4242,0,552270,199964,23549,536771,0,40276,2440,15616,1915,36425,43306,51,1229,4719,16126,-82.6513,43.84481,31166
"HARPER WOODS PUBLIC LIBRARY",48225,14236,1,0,3.8,3.8,3.28,7.08,470566,10912,0,506357,247976,33323,438882,0,0,2184,41023,7570,36889,39406,275,2575,14537,15360,-82.9242,42.43152,1753893
"HARRISON DISTRICT LIBRARY",48625,12920,1,0,0.88,2.6,1.5,4.1,343495,8069,0,379032,122319,24937,379032,0,15515,2340,52880,5524,32828,32828,272,8054,10225,9842,-84.7992,44.01965,30757
"HART AREA PUBLIC LIBRARY",49420,8133,1,0,0,3.08,1.7,4.78,321626,5319,0,351051,126570,42937,270827,3413,122824,2642,40000,5233,96484,96484,264,5558,16016,4501,-86.3638,43.69898,26625
"HARTFORD PUBLIC LIBRARY",49057,6582,1,0,0,1,2.78,3.78,188659,4305,0,236081,116017,25546,220687,0,8404,2340,28943,3204,34364,34392,138,4729,8616,450,-86.1699,42.20645,75448
"HASTINGS PUBLIC LIBRARY",49058,13233,1,0,1.7,9.03,0.25,9.28,654564,4358,6109,746938,230415,25906,622311,0,5921,2957,96417,4806,80501,80501,384,8497,9794,30268,-85.2853,42.64872,61157
"HAZEL PARK MEMORIAL DISTRICT LIBRARY",48030,16422,1,0,3.1,3.1,4.05,7.15,447000,18001,0,499066,218026,36212,441488,0,0,2288,129320,5114,61095,65130,259,6059,21069,3862,-83.1035,42.46142,1259201
"ALDEN DISTRICT LIBRARY",49612,1285,1,0,0,1,1.15,2.15,132845,891,0,156402,64456,19680,128294,0,0,2344,20982,1824,15014,16356,222,3777,2055,3416,-85.2685,44.88121,23365
"HENIKA DISTRICT LIBRARY",49348,7135,1,0,1.75,3.45,1,4.45,333236,12915,0,357727,140242,25504,281820,0,12000,2860,60060,2227,55706,55706,429,10309,6338,15553,-85.6431,42.67336,117327
"ALMONT DISTRICT LIBRARY",48003,6583,1,0,0,3.4,2.2,5.6,300272,4306,0,318809,164429,31396,320873,0,1769,2652,28000,2929,32828,32828,60,1840,3686,5000,-83.047,42.92046,88028
"HERRICK DISTRICT LIBRARY",49423,102423,1,1,12.81,12.81,36.43,49.24,5800123,520913,38268,6567636,2149035,671390,4653175,0,1206042,5837,809569,49522,1202938,1292493,1145,50586,58340,67061,-86.1089,42.78653,290494
"HESPERIA COMMUNITY LIBRARY",49421,5933,1,0,0,0.75,3.25,4,138119,4086,0,193341,111969,37460,241878,13832,1907,2448,22539,1361,37083,38035,83,972,3975,20850,-86.0396,43.56786,48892
"HIGHLAND TOWNSHIP PUBLIC LIBRARY",48356,19202,1,0,5.31,6.25,5,11.25,919159,12560,1500,1012699,491658,82224,966605,0,39233,2697,82979,7559,164874,177884,430,6338,21551,7762,-83.6116,42.64392,1259201
"HOLLY TOWNSHIP LIBRARY",48442,23088,1,0,1,3.85,3.69,7.54,340930,16007,0,387096,208023,28478,327389,0,1306,2751,62624,3814,56213,56213,142,3325,9952,660,-83.628,42.80512,1259201
"HOME TOWNSHIP LIBRARY",48829,4220,1,0,0,1.6,0.08,1.68,80726,2926,0,117197,-9,13291,109821,0,2997,2016,17880,999,15412,15412,68,666,3023,347,-85.041,43.40805,63968
"HOMER PUBLIC LIBRARY",49245,3926,1,0,0,2.63,0.69,3.32,152196,2568,0,166640,89260,47196,221808,0,906,2169,40796,4397,36358,36442,593,5965,6057,8462,-84.8078,42.14572,134487
"HOPKINS DISTRICT LIBRARY",49328,4610,1,0,0.63,0.63,0.93,1.56,120955,5015,0,129938,-9,10054,113112,0,0,1884,25672,974,71021,74869,337,8456,5218,1233,-85.7626,42.62398,117327
"HOUGHTON LAKE PUBLIC LIBRARY",48629,15322,1,0,0.85,1,6.25,7.25,656204,11236,0,701166,268427,72173,608184,0,59387,2357,52000,6687,55805,55805,378,4961,11764,22814,-84.7275,44.29827,23884
"HOWE MEMORIAL LIBRARY",48615,5531,1,0,0,1.65,0.05,1.7,95720,3617,0,131639,-9,4045,91330,0,0,1716,7918,2925,7624,7624,134,1821,1090,514,-84.4786,43.40793,40599
"HOWELL CARNEGIE DISTRICT LIBRARY",48843,52529,1,0,4,4,20.83,24.83,2727661,38521,0,2865217,1036466,325464,2176348,4940,207050,2840,170010,21075,461039,638373,1112,29702,21415,36738,-83.9323,42.60818,191224
"HUDSON CARNEGIE DISTRICT LIBRARY",49247,5107,1,0,0,1,1.13,2.13,140956,3541,0,153380,51322,14202,127542,0,3856,2080,11378,1076,20900,21000,148,2502,2295,875,-84.3537,41.85387,98266
"GARY BYKER MEMORIAL LIBRARY OF HUDSONVILLE",49426,10983,1,0,1.38,1.88,3.95,5.83,371044,8054,0,403319,211169,35019,384081,2600,9944,2380,60850,3655,103834,107674,320,8310,4954,12220,-85.8643,42.87087,290494
"HUNTINGTON WOODS PUBLIC LIBRARY",48070,8764,1,0,1.85,1.85,5.6,7.45,579051,0,0,579051,256052,61555,475243,0,107506,2652,79575,4503,70257,78416,164,2448,5531,675,-83.1734,42.48534,1259201
"RUTH HUGHES MEMORIAL DISTRICT LIBRARY",48444,11480,1,1,1,4,2.63,6.63,363872,7509,0,398032,232850,28428,393448,0,0,3449,47142,5739,74484,74484,175,4686,8868,3700,-83.0775,43.02599,88028
"CLARKSTON INDEPENDENCE DISTRICT LIBRARY",48346,35563,1,0,9.8,9.8,12.35,22.15,1901289,23262,0,1947351,862050,242800,1837633,0,180028,3179,138323,14000,368425,368425,627,22883,13567,33543,-83.4092,42.74013,1259201
"INDIAN RIVER AREA LIBRARY",49749,3038,1,0,0,1.78,0,1.78,78667,0,0,103549,-9,14802,92856,2500,0,1820,10400,2806,11899,11899,84,739,3900,2080,-84.6125,45.41093,25413
"CARO AREA DISTRICT LIBRARY",48723,11833,1,0,2,2,6.65,8.65,457724,12113,1690,508750,262505,57547,523983,0,0,3267,147220,6226,47056,61705,223,4434,11572,10748,-83.4053,43.48873,52516
"INTERLOCHEN PUBLIC LIBRARY",49643,5784,1,0,0,1,2.15,3.15,199385,3783,0,222238,136655,17554,207086,375203,375203,2808,54732,64577,60132,60132,322,5314,6518,8991,-85.7661,44.64405,92573
"IOSCO-ARENAC DISTRICT LIBRARY",48730,41786,0,8,2,3,5,8,1106615,47258,0,1164576,309989,176996,1177687,0,30620,16895,112824,14069,115858,115858,160,5782,21808,73072,-83.491,44.28078,25081
"IRONWOOD CARNEGIE LIBRARY",49938,5713,1,0,0,1,1,2,133576,3961,0,172748,-9,18159,145416,0,1465,1777,19000,2009,23497,23497,125,2652,2897,3772,-90.1678,46.4549,15096
"ISHPEMING CARNEGIE PUBLIC LIBRARY",49849,13600,1,0,1.68,2.68,0.75,3.43,370146,8895,0,388843,138186,31534,329784,812,11129,2184,36188,4215,50623,50623,192,4041,6795,4252,-87.6687,46.49079,66516
"J. C. WHEELER PUBLIC LIBRARY",49070,6443,1,0,0,0.8,0.85,1.65,31491,4121,0,78614,-9,11334,69659,0,2035,1664,11250,3032,14648,14648,138,2518,760,2150,-85.6417,42.53576,117327
"JACKSON DISTRICT LIBRARY",49201,160248,1,12,18.7,23.03,88.58,111.61,6357619,137572,0,6995839,3357741,987895,7325746,0,153066,24323,595534,63394,1005258,1076773,2910,88936,153645,44131,-84.4106,42.24748,158823
"JACQUELIN E. OPPERMAN MEMORIAL LIBRARY",48741,4080,1,0,0,0.88,0.28,1.16,19746,2829,0,51005,-9,4528,46115,0,0,1969,10545,1096,10826,10829,15,65,1839,301,-83.1963,43.41275,52516
"FRANKENMUTH JAMES E. WICKSON DISTRICT LIBRARY",48734,7824,1,0,0.63,4.83,0.7,5.53,332268,5738,0,383010,190709,35846,402524,0,0,3210,127200,7766,90893,94920,285,7470,11726,33580,-83.74,43.33195,190800
"JONESVILLE DISTRICT LIBRARY",49250,5210,1,0,1,3.5,0.15,3.65,141631,3408,0,165695,86513,20731,155542,0,0,2371,10087,803,31763,31763,175,4671,2059,797,-84.6605,41.98357,45749
"JORDAN VALLEY DISTRICT LIBRARY",49727,6997,1,0,1,1,3.45,4.45,363289,4851,0,368140,142238,34446,296014,0,0,2808,18260,4111,20022,24094,271,5371,4434,0,-85.1189,45.15592,26244
"KALAMAZOO PUBLIC LIBRARY",49007,116445,1,4,20.5,20.5,100,120.5,10995750,1039818,0,12190353,5200796,1167048,11057295,0,318041,11491,558663,65883,1630484,1643525,2284,63558,111884,28977,-85.5846,42.2896,264870
"KALKASKA COUNTY LIBRARY",49646,17153,1,0,1.9,1.9,3.49,5.39,309145,17824,0,335060,162290,27786,293826,0,4491,2614,31556,4113,38748,38748,206,5340,8632,6326,-85.1762,44.73333,17824
"KENT DISTRICT LIBRARY",49321,395660,0,18,62.35,65.35,157.33,222.68,21346812,1182711,0,24127153,10398814,3193030,20370922,0,549120,46574,2663220,203960,8397078,8475617,5574,189390,362668,739337,-85.6531,43.04768,653786
"L`ANSE AREA SCHOOL-PUBLIC LIBRARY",49946,9533,1,0,0,0.45,0.25,0.7,56017,2531,0,60704,-9,4224,59954,0,29677,1226,6697,1556,7589,7589,29,833,1672,144,-88.4504,46.75779,8320
"LAINGSBURG PUBLIC LIBRARY",48848,9555,1,0,0,1,0.63,1.63,71447,6624,0,86797,-9,10296,86948,31000,2500,2080,29120,5232,43000,43000,61,610,6240,850,-84.3504,42.89015,68192
"LAKE LINDEN-HUBBELL SCHOOL PUBLIC LIBRARY",49945,3730,1,0,0,0.5,0.75,1.25,38753,1228,0,39981,-9,9461,41963,0,0,2019,9765,1095,7342,7342,5,118,1295,25,-88.408,47.1939,36219
"LAKE ODESSA COMMUNITY LIBRARY",48849,4168,1,0,0.9,0.9,2.75,3.65,265643,2726,0,296294,110488,35531,296835,19261,68077,1957,18045,1923,47303,47303,244,4124,5474,7758,-85.1381,42.78245,64210
"LAPEER DISTRICT LIBRARY",48446,60006,1,6,5,12.56,8.53,21.09,1693152,39250,0,1859965,878835,168791,1879376,0,391326,9810,132675,20314,168408,168636,1310,24032,17940,43055,-83.333,43.05362,88028
"LAWRENCE MEMORIAL PUBLIC LIBRARY",49034,2735,1,0,0.15,0.15,0.03,0.18,14158,2665,0,27098,-9,9061,26652,0,4985,1111,1913,484,4428,4428,42,315,261,2090,-85.3358,42.23834,264870
"LAWTON PUBLIC LIBRARY",49065,1900,1,0,0,1.75,0.95,2.7,131051,1800,0,139684,67338,33759,131820,0,2376,1976,13917,2358,22105,22105,91,1090,2748,1980,-85.8494,42.16684,75448
"LEELANAU TOWNSHIP LIBRARY",49670,2027,1,0,0.88,0.88,0.73,1.61,127906,1326,0,141894,-9,22360,137160,0,0,1820,21106,2816,32317,32317,80,1653,3000,6556,-85.6147,45.12978,21764
"LELAND TOWNSHIP PUBLIC LIBRARY",49654,5857,1,0,0,2.4,0.18,2.58,184478,3831,0,212628,101858,26935,172701,0,7395,2080,35971,4536,35594,35854,106,2572,5131,4615,-85.762200000000007,45.02222,21764
"LENAWEE DISTRICT LIBRARY",49221,40771,1,5,2.55,10.35,1.53,11.88,1088596,26668,0,1191723,422601,113841,872847,0,57964,9403,115000,12386,160614,160614,772,18293,12335,13021,-84.073,41.90451,98266
"LENOX TOWNSHIP LIBRARY",48048,10470,1,0,2.63,2.8,2.7,5.5,331418,6884,0,345805,188546,25119,317935,0,313702,2562,22068,4111,25970,25970,225,2604,3865,0,-82.8085,42.73382,874759
"LEROY COMMUNITY LIBRARY",49655,2835,1,0,0.45,0.65,0,0.65,19605,1691,0,25228,-9,8012,26321,0,10648,1352,3172,510,8849,8849,14,60,1369,378,-85.4538,44.03819,23341
"LINCOLN TOWNSHIP PUBLIC LIBRARY",49127,22258,1,0,2,4,11.18,15.18,1059316,15431,1180,1133035,527227,89953,826412,0,159226,2904,115000,6720,376682,481408,610,15146,21335,26000,-86.5042,42.01445,154141
"LITCHFIELD DISTRICT LIBRARY",49252,2372,1,0,0.78,1.63,0,1.63,103489,0,0,125402,-9,2460,64432,0,16308,1584,10887,1208,29408,29408,49,1152,914,2658,-84.7585,42.04406,45749
"LIVONIA PUBLIC LIBRARY",48154,96942,1,3,16,16,17.55,33.55,3469744,31924,0,3648308,1744953,258253,3282517,0,111250,6403,297083,35709,465526,466246,669,22496,33063,59474,-83.3676,42.39715,1753893
"LOUTIT DISTRICT LIBRARY",49417,35540,1,0,4.8,4.8,17.38,22.18,2385203,26062,0,2505978,904357,199741,1986433,0,79995,3429,178091,22280,388534,440900,718,29818,22185,111964,-86.2271,43.06384,290494
"LUTHER AREA PUBLIC LIBRARY",49656,4141,1,0,0,1.05,0.15,1.2,72385,2709,0,81140,-9,11065,79727,1,1700,1820,8436,1672,5298,5298,87,814,1992,2060,-85.6824,44.03574,11881
"LYON TOWNSHIP PUBLIC LIBRARY",48178,14545,1,0,1.63,1.63,7,8.63,484244,9842,0,511508,283589,51420,495690,0,1913,2500,33177,5791,95381,115139,237,6134,6650,802,-83.6129,42.48569,1259201
"LYONS TOWNSHIP DISTRICT LIBRARY",48851,3667,1,0,0.95,0.95,1.86,2.81,107189,2399,0,128063,75527,9531,137962,0,1475,1768,10616,1841,15089,15169,23,894,2314,4000,-84.9474,42.98199,64210
"M. ALICE CHAPIN MEMORIAL LIBRARY",49665,4197,1,0,0,0.83,0.55,1.38,39286,2456,0,46293,-9,3565,61286,7000,0,1876,13898,3345,9096,9096,11,559,3700,3200,-85.1472,44.10246,23341
"MACKINAC ISLAND PUBLIC LIBRARY",49757,492,1,0,0,1,0.75,1.75,52050,322,0,82671,-9,10266,72843,0,3430,1870,21349,1182,4093,4093,12,687,1365,3254,-84.6191,45.84656,10787
"MACKINAW AREA PUBLIC LIBRARY",49701,5068,1,2,0.85,3.05,0.33,3.38,150488,3514,0,199985,99925,26708,165871,0,29647,3118,24752,2527,27312,27312,276,3019,2304,2437,-84.7427,45.7817,33308
"MADISON HEIGHTS PUBLIC LIBRARY",48071,29694,1,0,2.88,3.38,3.75,7.13,677537,22495,0,712874,337213,71901,588608,0,0,2747,86182,6743,93838,105418,168,3517,30930,5067,-83.1096,42.51997,1259201
"MANCELONA TOWNSHIP LIBRARY",49659,4968,1,0,0,0.88,0.5,1.38,88395,3250,0,94154,-9,6711,59309,0,1915,2120,10997,2973,9913,9913,43,141,3009,800,-85.0633,44.90241,23365
"MANCHESTER DISTRICT LIBRARY",48158,7312,1,0,0,1.55,2.88,4.43,398560,4783,0,417396,134447,38185,270436,0,0,2348,20520,2520,37356,41856,204,2648,6896,15876,-84.0226,42.14963,370963
"MANISTEE COUNTY LIBRARY",49660,22995,1,5,1,4.81,9.41,14.22,1350759,21579,0,1392305,485607,115855,1084853,304865,341403,8985,83686,10929,138713,164865,470,6612,13608,21515,-86.3237,44.24606,24528
"MANISTIQUE SCHOOL & PUBLIC LIBRARY",49854,8344,1,0,0,1.98,0,1.98,48207,5785,0,176057,-9,20610,174197,0,0,2600,43239,3276,29951,29951,60,771,2149,2151,-86.2467,45.95864,8068
"MAPLE RAPIDS PUBLIC LIBRARY",48853,3115,1,0,0,0.88,0.03,0.91,35219,2181,0,44536,-9,5368,36692,0,1182,1230,8512,2116,8562,8562,8,50,353,163,-84.6923,43.10416,79332
"MARCELLUS TOWNSHIP WOOD MEMORIAL LIBRARY",49067,4101,1,0,0,0.95,1.43,2.38,182342,2843,0,215087,93970,18327,143966,0,31434,2444,28566,2618,18605,18693,91,2245,4323,4687,-85.8127,42.02697,51653
"MARLETTE DISTRICT LIBRARY",48453,5241,1,0,0,2.1,0,2.1,42450,3428,0,68998,47041,13048,98547,0,0,2240,24600,2596,29903,29903,18,431,6822,8314,-83.0798,43.32563,41182
"MARSHALL DISTRICT LIBRARY",49068,14948,1,0,4,5,10.3,15.3,982382,10363,0,1034645,590629,54323,967087,0,103056,2840,131440,6830,124671,124671,694,9791,45420,18591,-84.9593,42.27106,134487
"MAUD PRESTON PALENSKE MEMORIAL LIBRARY",49085,18393,1,0,2.6,9.78,2.3,12.08,637440,18120,0,780440,404290,54587,727040,254636,81716,2752,98066,5947,126037,133643,494,10477,12395,17922,-86.4845,42.10744,154141
"MAYVILLE DISTRICT PUBLIC LIBRARY",48744,5160,1,0,0,1,2.05,3.05,117058,3577,0,139355,81797,24113,150970,0,0,2346,22499,3236,41562,41562,94,2019,3649,6150,-83.3524,43.33528,52516
